"maSum" "id" "sire" "mastitis" "birth" "herd" "fresh" "dim" "logDim" "ord"
"0" "BSUSA0000009276" "BSUSA0000001909" "0" "2002" "35091017" "2004" 306 5.723585102 5
"0" "HOUSA0000604166" "BSUSA0000001909" "0" "2001" "35091017" "2003" 306 5.723585102 5
"1" "HOUSA0000604166" "BSUSA0000001909" "1" "2001" "35091017" "2003" 302 5.7104270174 5
"0" "HOUSA0000604166" "BSUSA0000001909" "0" "2002" "35091017" "2004" 390 5.9661467391 5
"5" "BSUSA0000009150" "BSUSA0000001909" "1" "2001" "74150763" "2004" 613 6.4183649359 5
"0" "HOUSA0001259009" "HOCAN0000003631" "0" "1999" "23070233" "2001" 305 5.7203117766 9
"3" "HOCAN0000066417" "HOCAN0000003631" "1" "1996" "35460100" "2001" 477 6.1675164909 9
"0" "HOUSA0000143916" "HOCAN0000003631" "0" "1990" "35490074" "2004" 330 5.7990926545 9
"0" "HOUSA0000147949" "HOCAN0000003631" "0" "1992" "35490074" "2003" 305 5.7203117766 9
"0" "HOUSA0000154191" "HOCAN0000003631" "0" "1994" "35490074" "2004" 164 5.0998664278 9
"0" "HOUSA0001225454" "HOCAN0000003631" "0" "1998" "35490074" "2004" 250 5.5214609179 9
"0" "HOUSA0000134106" "HOCAN0000003631" "0" "1988" "35490720" "2001" 65 4.1743872699 9
"0" "HOUSA0000173752" "HOCAN0000003631" "0" "1995" "35530023" "2002" 405 6.0038870671 9
"2" "HOUSA0000159054" "HOCAN0000003631" "1" "1995" "35560117" "2002" 315 5.7525726388 9
"1" "HOUSA0001209329" "HOCAN0000003827" "1" "1998" "35231609" "2001" 330 5.7990926545 15
"0" "HOUSA00035NAD03" "HOCAN0000003827" "0" "1991" "35430024" "2004" 330 5.7990926545 15
"1" "HOCAN0000065758" "HOCAN0000003827" "1" "1996" "35460100" "2001" 224 5.4116460519 15
"0" "HOUSA0000171103" "HOCAN0000003827" "0" "1996" "35490074" "2004" 281 5.6383546693 15
"0" "HOUSA0000171103" "HOCAN0000003827" "0" "1996" "35490074" "2004" 626 6.4393503711 15
"0" "HOCAN0000068310" "HOCAN0000003827" "0" "1997" "35490720" "2004" 293 5.680172609 15
"0" "HOCAN0000091551" "HOCAN0000003827" "0" "2000" "35490720" "2002" 346 5.8464387751 15
"0" "HOUSA0001235257" "HOCAN0000003827" "0" "1998" "35490720" "2003" 308 5.730099783 15
"0" "HOUSA0001257941" "HOCAN0000003827" "0" "1998" "35490720" "2004" 295 5.6869753563 15
"0" "HOUSA0000157221" "HOCAN0000003827" "0" "1995" "35560117" "2001" 23 3.1354942159 15
"0" "HOUSA0000159736" "HOCAN0000003827" "0" "1995" "35560117" "2002" 339 5.8260001074 15
"0" "HOUSA00093VJG81" "HOCAN0000003827" "0" "1994" "93241097" "2003" 330 5.7990926545 15
"0" "HOUSA00093VJG81" "HOCAN0000003827" "0" "1994" "93241097" "2002" 330 5.7990926545 15
"0" "HOUSA00093WTG02" "HOCAN0000003827" "0" "1995" "93241097" "2002" 678 6.5191472879 15
"0" "HOUSA0001209304" "HOCAN0000003827" "0" "1998" "93540587" "2000" 330 5.7990926545 15
"0" "HOCAN0000066235" "HOCAN0000003836" "0" "1996" "21180524" "2002" 330 5.7990926545 7
